Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
239,Jaime Jaquez Jr.,SF,22,MIA,53,17,29.5,4.9,10,0.492,0.9,2.8,0.318,4,7.2,0.559,0.536,2,2.4,0.814,1.3,2.7,3.9,2.6,1.1,0.2,1.7,2.3,12.7,jaqueja01
240,DaQuan Jeffries,SG,26,NYK,13,0,2.6,0.4,1.1,0.357,0.1,0.5,0.143,0.3,0.5,0.571,0.393,0,0.2,0,0,0.4,0.4,0.2,0,0,0.1,0.2,0.8,jeffrda01
241,Trey Jemison,C,24,TOT,10,4,17.1,1.9,3.9,0.487,0,0,,1.9,3.9,0.487,0.487,0.7,0.9,0.778,1.7,2,3.7,0.8,0.4,1,1,2.8,4.5,jemistr01
241,Trey Jemison,C,24,WAS,2,0,0.5,0,0,,0,0,,0,0,,,0,0,,0,0.5,0.5,0,0,0,0.5,0,0,jemistr01
241,Trey Jemison,C,24,MEM,8,4,21.3,2.4,4.9,0.487,0,0,,2.4,4.9,0.487,0.487,0.9,1.1,0.778,2.1,2.4,4.5,1,0.5,1.3,1.1,3.5,5.6,jemistr01
242,Ty Jerome,SG,26,CLE,2,0,7.5,1,2,0.5,0,0.5,0,1,1.5,0.667,0.5,0,0,,0.5,0,0.5,1.5,0,0,0.5,1,2,jeromty01
243,Isaiah Joe,SG,24,OKC,55,0,18.6,2.9,6.2,0.474,1.9,4.5,0.43,1,1.7,0.593,0.631,0.6,0.7,0.85,0.4,1.9,2.3,1.1,0.6,0.3,0.6,1.2,8.4,joeis01
244,Cameron Johnson,PF,27,BRK,46,42,27.9,5,11,0.453,2.4,6.2,0.394,2.5,4.8,0.527,0.563,1.2,1.7,0.75,1,3.4,4.5,2.6,0.8,0.3,1,1.8,13.6,johnsca02
245,Jalen Johnson,SF,22,ATL,45,42,34.2,6.4,12.2,0.522,1.2,3.4,0.346,5.2,8.8,0.59,0.57,1.9,2.6,0.731,1.3,7.4,8.7,3.4,1.2,0.9,1.8,2.6,15.8,johnsja05
246,James Johnson,PF,36,IND,6,0,5.3,0.3,1,0.333,0,0.2,0,0.3,0.8,0.4,0.333,0.3,0.3,1,0.2,0.5,0.7,1,0.7,0.2,0.3,1.2,1,johnsja01
247,Keldon Johnson,SF,24,SAS,56,26,29.6,5.7,12.8,0.448,1.7,5.2,0.336,4,7.6,0.525,0.516,2.6,3.3,0.781,1.4,4.1,5.4,3,0.8,0.3,1.5,2.3,15.8,johnske04
248,Keon Johnson,SG,21,BRK,4,0,12.8,1.8,4.8,0.368,1,2.3,0.444,0.8,2.5,0.3,0.474,2.5,2.5,1,0.8,0.5,1.3,0.8,0.8,0.3,1,1,7,johnske07
249,Keyontae Johnson,SF,23,OKC,9,0,7.3,0.6,1.8,0.313,0.1,0.3,0.333,0.4,1.4,0.308,0.344,0,0,,0.4,0.7,1.1,0.4,0.1,0,0.4,0.6,1.2,johnske08
250,Nikola Jokić,C,28,DEN,58,58,33.9,10.1,17.4,0.58,1,2.9,0.345,9.1,14.5,0.628,0.609,4.5,5.5,0.819,2.9,9.4,12.3,9.3,1.2,0.9,2.9,2.6,25.8,jokicni01
251,Colby Jones,SG,21,SAC,17,0,7.1,1,2.7,0.37,0.1,0.8,0.077,0.9,1.9,0.485,0.38,0.1,0.3,0.4,0.6,0.9,1.5,0.6,0.2,0.1,0.3,0.9,2.2,jonesco02
